threshold,score,feasible,precision,recall,f1,worst_group_sensitivity,macro_avg_fnr,fnr_gap,method,epsilon,clipping
0.25,-0.05078649189825958,False,0.5704274702172389,0.15460588793922128,0.24327555289898387,0.13687600644122383,0.8463408533058174,0.03356628050591748,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.3,-0.10273568672498194,False,0.5821138211382114,0.13599240265906934,0.22047729022324866,0.11876006441223833,0.8649277707424605,0.03262432969060236,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.35,-0.14164829061801576,False,0.596244131455399,0.12060778727445394,0.20063191153238547,0.10507246376811594,0.8802217688351077,0.02941153479355252,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.4,-0.1719940737305698,False,0.5972660357518401,0.10788224121557455,0.18275418275418276,0.09541062801932366,0.8927837187123806,0.023611306536591492,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.45,-0.20593728318026397,False,0.6054502369668247,0.09705603038936372,0.16729415616303814,0.08373590982286634,0.9036552381845755,0.025217703985116358,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.5,-0.2391468928817203,False,0.607190412782956,0.08660968660968661,0.15159574468085107,0.07286634460547504,0.9141241811672374,0.026018948454575308,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.005,1.9388383262768905,False,0.2176606605296453,0.9475783475783476,0.35400553466259843,0.9420289855072463,0.052717977580788895,0.010506073823929457,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.01,1.7951042853728516,True,0.25793850103242366,0.8778727445394112,0.39872325741890957,0.8739935587761675,0.12233439644794647,0.007344089551772126,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.015,1.63735511524054,True,0.2908843537414966,0.8121557454890789,0.4283496118206862,0.8039452495974235,0.18828267904882512,0.01554414270750279,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.02,1.4733496280738527,True,0.314290312198262,0.7418803418803419,0.441530548804612,0.7342995169082126,0.2585244594531213,0.014352047277332247,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.025,1.3473408690696411,False,0.3368381874011352,0.6875593542260209,0.45216087934049465,0.6803542673107891,0.31282538342479244,0.01364069852883698,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.03,1.2164630849566438,False,0.3560404470463012,0.6353276353276354,0.456343792633015,0.6260064412238325,0.3651700983381017,0.01764692087613151,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.04,1.025051010395864,False,0.3923470762597683,0.5530864197530864,0.4590525735004335,0.5458937198067633,0.4472976564576396,0.013617247471194305,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.05,0.8191203046294164,False,0.4230444331812806,0.47559354226020895,0.44778254649499283,0.463365539452496,0.5250594093460281,0.02315010240295179,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.07,0.5540106760071375,False,0.46195270428471086,0.37473884140550806,0.4138003355704698,0.35990338164251207,0.6260533433391179,0.028086550036739988,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.1,0.2995834277721567,False,0.49848841115216663,0.2818613485280152,0.3601067702014074,0.2640901771336554,0.7190875975173148,0.03364445069805988,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.12,0.21876056136458483,False,0.5196540880503144,0.2510921177587844,0.3385836854911,0.23349436392914655,0.7498475681253225,0.03331613589106197,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.15,0.15078809770464743,False,0.5308697611536728,0.22374169040835706,0.31480491715660075,0.20893719806763286,0.7770488407360505,0.028027922392633187,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.18,0.1108637555416212,False,0.5384241245136187,0.21025641025641026,0.3024177024996585,0.19444444444444445,0.7905879180151025,0.02993527508090621,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.2,0.08413665341523698,False,0.5398773006134969,0.20056980056980056,0.29248026589115084,0.18518518518518517,0.8002517080186983,0.029126213592232997,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.22,0.06288219345572198,False,0.5436634717784877,0.1939221272554606,0.2858742825143497,0.17753623188405798,0.8069528477400998,0.03102184075168457,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.25,0.04558679882044907,False,0.5478603603603603,0.18480531813865148,0.2763811958528618,0.17149758454106281,0.8159052889952003,0.02519425292747368,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.3,0.005340752600245701,False,0.5535714285714286,0.1707502374169041,0.2609957903904776,0.1574074074074074,0.8299622437971952,0.025260697590794634,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.35,-0.0234091394216577,False,0.5577427821522309,0.16144349477682812,0.25040506702017973,0.1473429951690821,0.8393094445226146,0.026695120616606505,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.4,-0.04553048172367642,False,0.5665961945031712,0.1527065527065527,0.24057450628366248,0.1392914653784219,0.8480097869080563,0.025397495427043837,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.45,-0.07177145032493588,False,0.5731614859742229,0.14358974358974358,0.22964763061968407,0.13003220611916264,0.8571342025858699,0.025667182589934834,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.5,-0.09043479964993462,False,0.5778853914447135,0.13599240265906934,0.2201722017220172,0.12359098228663445,0.8646698091083909,0.023478417209949476,DP-SGD MLP ε=3.0 [fixed],3.0,fixed
0.005,1.9528893572906993,False,0.21532972229386982,0.9513770180436847,0.3511760788025379,0.9480676328502415,0.04879969669965449,0.006265340900207937,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.01,1.785472801203769,True,0.2546222636747682,0.8814814814814815,0.3951132300357569,0.8715780998389694,0.11904733986836138,0.018749120585338383,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.015,1.652293638732227,True,0.2855537190082645,0.8203228869895537,0.4236390387444826,0.8111916264090178,0.1801647045948439,0.017287337992276802,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
0.02,1.5132189444950634,True,0.31150359487339796,0.7570750237416904,0.4413930568628537,0.750402576489533,0.24328127198536653,0.012632303050200883,DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive
