threshold,score,precision,recall,f1,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,method
0.060000000000000005,1.3959596697482193,0.30258441803433317,0.9468713105076741,0.4586132952108649,0.053128689492325853,0.005919125813112047,0.017634361741266896,0.9410729991204925,0.050109820008874026,Naive transfer
0.07,1.3840244362302625,0.31193383221740845,0.935064935064935,0.4678086237448317,0.06493506493506496,0.0006514752506021626,0.01650063397172629,0.9296394019349165,0.06211028107922041,Naive transfer
0.08,1.376006073160502,0.32112157183790424,0.9262101534828807,0.4768996960486322,0.07378984651711928,0.0019978635189008553,0.016319048047635523,0.920844327176781,0.07099614879940125,Naive transfer
0.09,1.3642921842589981,0.32971938775510207,0.9155844155844156,0.48483901219130976,0.08441558441558439,0.0009329081785832694,0.016101144938726594,0.9102902374670184,0.08165919006361824,Naive transfer
0.1,1.343559580736141,0.3377689066311821,0.8990554899645808,0.49105271642753506,0.10094451003541915,0.0021498044479177914,0.013978958138917974,0.8944591029023746,0.09855141802816635,Naive transfer
0.11,1.3336493360423367,0.3468728363720286,0.8872491145218417,0.49875559980089595,0.11275088547815826,0.0018772233338194555,0.010170390757118564,0.8839050131926122,0.11100979142882858,Naive transfer
0.12000000000000001,1.3277421406302403,0.35510887772194305,0.8760330578512396,0.5053635280095352,0.12396694214876036,0.0013983128260227629,0.0028074762872468267,0.8751099384344767,0.12348632342189989,Naive transfer
0.13,1.2915706710515718,0.3600198906016907,0.8547815820543093,0.5066480055983205,0.14521841794569068,0.006133394462560782,0.0029780091550885845,0.8527827648114902,0.14572823061096557,Naive transfer
0.14,1.254447333971084,0.3679855184897854,0.8400236127508854,0.5117784571120302,0.15997638724911456,0.006398948879041022,0.013088397606855429,0.8312387791741472,0.16221702202242508,Naive transfer
0.15000000000000002,1.237361084254527,0.3767104910115374,0.8288075560802833,0.5179856115107914,0.17119244391971666,0.009223772577372613,0.015101632852209584,0.8186714542190305,0.17377772935486469,Naive transfer
0.16,1.2172566625744952,0.3838440111420613,0.8134592680047226,0.5215745647236941,0.18654073199527743,0.01076544828596937,0.01363315537912771,0.8043087971274686,0.18887462518296755,Naive transfer
0.16999999999999998,1.214630211385844,0.38912732474964234,0.8028335301062574,0.5241857776064752,0.19716646989374265,0.011010926423540512,0.005826539651260287,0.7989228007181328,0.198163929456237,Naive transfer
